Currency,Price,Boat Type,Manufacturer,Type,Year Built,Material,Location,Number of views last 7 days,Country
EUR ,3490,Center console boat,Terhi power boats,new boat from stock,2020,Thermoplastic,Germany » Bönningstedt,75,Germany
EUR ,3399,Fishing Boat,Linder power boats,new boat from stock,2019,Aluminium,Germany » Bayern » München,58,Germany
CHF ,3500,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,GRP,Switzerland » Seengen,239,Switzerland
EUR ,3500,Sport Boat,GS Nautica power boats,Used boat,2004,GRP,Italy » Lake Garda » Moniga del Garda (BS),69,Italy
CHF ,4600,Runabout,Kimple power boats,new boat from stock,2020,Aluminium,Switzerland » Zugersee » Neuheim,113,Switzerland
CHF ,4500,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,Aluminium,Switzerland » Vierwaldstättersee » 6004,413,Switzerland
EUR ,4000,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,PVC,"France » MARTGUES, MARTIGUES",265,France
EUR ,3999,Fishing Boat,Linder power boats,new boat from stock,2019,Aluminium,Germany » Bayern » München,69,Germany
EUR ,3930,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,Aluminium,Germany » Nordrhein-Westfalen » WSC Hopp / Mönchengladbach,90,Germany
EUR ,3900,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,GRP,"Germany » BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",98,Germany
CHF ,4200,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,GRP,Switzerland » Diessenhofen,160,Switzerland
CHF ,4030,Fishing Boat,Linder power boats,new boat from stock,2018,Aluminium,Switzerland » Vierwaldstättersee » Luzern ,130,Switzerland
CHF ,3975,Fishing Boat,Terhi power boats,new boat from stock,2020,Thermoplastic,Switzerland » Horgen,512,Switzerland
CHF ,3950,Sport Boat,MÃ¤ndli power boats,Used boat,1996,GRP,Switzerland » Lake of Zurich » Stäfa,202,Switzerland
CHF ,3800,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,Aluminium,Switzerland » Luganersee » Bioggio-Lugano,255,Switzerland
CHF ,3800,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,GRP,Switzerland » Walensee » Walenstadt,1804,Switzerland
CHF ,3800,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,Plastic,Switzerland » Sihlsee ,849,Switzerland
EUR ,3500,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,GRP,Germany » Verkaufshafen Brandenburg-Plaue,133,Germany
EUR ,5500,Sport Boat,Corsiva power boats,new boat from stock,2018,GRP,Germany » Berlin » Berlin,186,Germany
EUR ,5500,Center console boat,Saver power boats,"Used boat,Unleaded",1997,PVC,"Spain » Cabo de Palos, Espagne",118,Spain
EUR ,5500,Sport Boat,Ilver power boats,Used boat,1961,GRP,Italy » emilia,74,Italy
CHF ,5900,Sport Boat,Skibsplast power boats,Used boat,1980,GRP,Switzerland » Faoug ,543,Switzerland
EUR ,5399,Fishing Boat,Linder power boats,new boat from stock,2018,Aluminium,Germany » Bayern » München,67,Germany
EUR ,5200,Fishing Boat,Viking power boats,new boat from stock,2020,Aluminium,Germany » Erftstadt,141,Germany
CHF ,5500,Sport Boat,Staempfli power boats,Used boat,1968,GRP,Switzerland » Neuenburgersee » Yvonand,278,Switzerland
CHF ,5500,Runabout,Kimple power boats,new boat from stock,2020,Aluminium,Switzerland » Zugersee » Neuheim,99,Switzerland
CHF ,7200,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,Plastic,Switzerland » Lake of Zurich » Zürichsee oder an Land auf Trailer,1201,Switzerland
EUR ,6590,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,GRP,Germany » Nordrhein-Westfalen » Köln,277,Germany
EUR ,6500,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,GRP,Italy » Venezia,85,Italy
EUR ,6500,Deck Boat,Corsiva power boats,new boat from stock,2018,GRP,Germany » Berlin » Berlin,122,Germany
EUR ,6500,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,GRP,Italy » 41100,183,Italy
EUR ,6500,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,GRP,Germany » Berlin » Berlin,289,Germany
EUR ,6500,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,GRP,Austria » Werfenweng,324,Austria
EUR ,6490,Cabin Boat,Hille power boats,Unleaded,1994,GRP,Germany » Verkaufshafen Brandenburg-Plaue,126,Germany
CHF ,7000,Sport Boat,Bienchen  power boats,Used boat,2018,GRP,Switzerland » Murtensee » Faoug,238,Switzerland
CHF ,7000,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,GRP,Switzerland » Lake Geneva » Roche,866,Switzerland
CHF ,7000,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,GRP,Switzerland » Neuenburgersee » Port de Grandson ,574,Switzerland
CHF ,8300,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,Aluminium,Switzerland » Lake Constance » Landschlacht ,205,Switzerland
EUR ,7640,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,GRP,Germany » BUDENHEIM/RHEIN,200,Germany
CHF ,8155,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,Thermoplastic,Switzerland » Horgen,462,Switzerland
EUR ,7500,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,GRP,Germany » Landshut,201,Germany
EUR ,7500,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,GRP,Austria,137,Austria
EUR ,7500,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,PVC,"France » Saint-Quay-Portrieux, France",208,France
EUR ,7500,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,GRP,France » Côte d'Azur » Les Marines de Cogolin,189,France
EUR ,7500,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,PVC,"France » Saint Quay Portrieux, France",131,France
EUR ,7500,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,GRP,Germany » Baden-Württemberg » 79258 Hartheim,490,Germany
CHF ,9400,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,GRP,Switzerland » Lake Constance » Kreuzlingen,280,Switzerland
CHF ,9265,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,GRP,Switzerland » Lake of Zurich » Bäch ,873,Switzerland
CHF ,9200,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,GRP,Switzerland » 8881 Tscherlach,258,Switzerland
EUR ,8500,Center console boat,Allegra power boats,Used boat,2018,GRP,Italy » Lombardia - Trentino Alto Adige » Moniga ,165,Italy
